ZIP,PARENT_METRO_REGION,market_score,market_category,Median_Income,county_adj,score_adj,max_ltv,MEDIAN_SALE_PRICE,HOMES_SOLD,MEDIAN_DOM
90241,"Los Angeles, CA",57.944485117170466,Neutral,39374,-2,0,68,892000.0,34.0,41.0
91770,"Los Angeles, CA",67.99210379817188,Neutral,28173,-2,0,68,920000.0,38.0,37.0
92372,"Riverside, CA",38.13415722307904,Neutral,38056,-1,0,69,480000.0,9.0,91.0
91214,"Los Angeles, CA",85.78292339506032,Prime,62194,-2,2,70,1395000.0,37.0,28.0
90068,"Los Angeles, CA",57.19239242447613,Neutral,66830,-2,0,68,1778500.0,63.0,72.0
90042,"Los Angeles, CA",55.65086253502446,Neutral,42405,-2,0,68,1295000.0,7.0,142.5
92268,"Riverside, CA",12.917281139728331,Declining,17663,-1,-5,64,470000.0,3.0,72.0
90804,"Los Angeles, CA",49.61401244142783,Neutral,35952,-2,0,68,660000.0,40.0,35.5
90638,"Los Angeles, CA",83.64899596283685,Prime,42240,-2,2,70,900000.0,61.0,21.5
90249,"Los Angeles, CA",76.80650756234013,Prime,38086,-2,2,70,796000.0,32.0,25.0
91758,"Riverside, CA",,Neutral,,-1,0,69,550000.0,5.0,88.0
92555,"Riverside, CA",79.09803999170342,Prime,42368,-1,2,71,595000.0,105.0,36.0
90004,"Los Angeles, CA",44.18857326709004,Neutral,35738,-2,0,68,892500.0,16.0,29.0
92596,"Riverside, CA",43.10100914568128,Neutral,43477,-1,0,69,474990.0,7.0,57.0
91344,"Los Angeles, CA",74.55812716936339,Prime,45903,-2,2,70,1100000.0,69.0,35.0
90650,"Los Angeles, CA",31.20603798108345,Declining,36627,-2,-5,63,980000.0,3.0,88.0
91342,"Los Angeles, CA",13.073145507997694,Declining,35904,-2,-5,63,770000.0,1.0,138.0
90028,"Los Angeles, CA",54.112170955192454,Neutral,39352,-2,0,68,960000.0,3.0,25.0
90024,"Los Angeles, CA",17.986152986798835,Declining,21670,-2,-5,63,2077000.0,1.0,11.0
91208,"Los Angeles, CA",70.41096075226054,Prime,60320,-2,2,70,1486500.0,18.0,43.0
92236,"Riverside, CA",48.20181429710075,Neutral,31280,-1,0,69,475000.0,25.0,52.0
92505,"Riverside, CA",69.00027411159907,Neutral,36489,-1,0,69,650000.0,47.0,32.5
91605,"Los Angeles, CA",60.68057044860695,Neutral,29375,-2,0,68,950000.0,33.0,48.0
92592,"Riverside, CA",67.66313568807041,Neutral,53960,-1,0,69,612500.0,4.0,20.0
91701,"Riverside, CA",67.66157551172009,Neutral,46875,-1,0,69,877500.0,52.0,35.0
92277,"Riverside, CA",35.74901881096505,Neutral,36330,-1,0,69,469000.0,2.0,77.0
91767,"Los Angeles, CA",40.89683842806085,Neutral,32404,-2,0,68,690000.0,5.0,12.0
91617,"Los Angeles, CA",,Neutral,,-2,0,68,1262500.0,1.0,344.0
91755,"Los Angeles, CA",31.69868326730077,Declining,30203,-2,-5,63,767000.0,4.0,71.5
90025,"Los Angeles, CA",39.20635711627386,Neutral,67377,-2,0,68,1203750.0,2.0,37.0
